Sample;Gender;Based;Research1;Research2;Field1;Field2;Position;SoftAnalysis1;SoftAnalysis2;SoftAnalysis3;SoftAnalysis4;OpenAllAnalysis;OpenSomeAnalysis;SoftWriting1;SoftWriting2;SoftWriting3;SoftWriting4;OpenAllWriting;OpenSomeWriting;SoftViz1;SoftViz2;SoftViz3;SoftViz4;OpenAllViz;OpenSomeViz;WhichKnownRepositories;KnownRepositories;PublishedSomething;WillGA;WillGAIf;WillGANo;PublishedNoWillPreprint;WillPreprintWhich;WillPreprintWhichWhy;WillPreprintNo;DidGA;WhyYes1;WhyYes2;WhyYes3;DidGANo1;DidGANo2;NoGAWillGreen;DidPreprint;LevelPreprint;WhichPreprint;PreprintNo1;PreprintNo2;WillPreprint;Methods1;Methods2;Replicability;NewData;RawData;WhereRaw1;WhereRaw2;RawRepo1;RawRepo2;RawRepo3;Recognition;MoreOD;Contact1;Contact2;Contact3;Contact4;Contact5;ContactOption;Social;Part2;Timestamp
19;Female;Australia_Pacific;Asia;Australia_Pacific;Archaeology;;Junior_postdoc;Excel;R;SPSS;;No;Yes;Docs;Word;;;No;No;Office;Illustrator;PAST;;No;No;;No;Yes;;;;;;;;No;;;;Money;Co-authors;;No;;;Opposition;Unscientific;;Modifications;Detailed;Yes;4;80;Supplementary;;;;;Maybe;Yes;Email;;;;;Email;No;Yes;2021/06/02_10:09:18_am_CET
20;Female;Europe;Africa;Asia;Palaeoenvironment;;Senior_tenured;Excel;R;PAST;;No;Yes;Word;;;;No;No;Office;PAST;;;No;No;https://hal-cnrs.archives-ouvertes.fr;Yes;Yes;;;;;;;;No;;;;Unethical;;Yes;No;;;Useless;Unscientific;;Detailed;Reference;Yes;6;100;Supplementary;;;;;Yes;Yes;Email;;;;;Email;No;Yes;2021/06/02_4:34:04_pm_CET
21;Female;Americas;Americas;;Agronomy;Archaeology;PhD_candidate;Excel;R;FileMaker;SYSTAT;No;Yes;Docs;Word;;;No;No;Illustrator;R;;;No;Yes;Missouri Phytolith Database;Yes;Yes;;;;;;;;No;;;;Money;Useless;;No;;;Useless;;;Modifications;Detailed;Yes;4;100;Main;Supplementary;;;;Incentive;Maybe;Email;;;;;Email;No;No;2021/06/02_8:38:23_pm_CET
22;Female;Americas;Europe;;Archaeology;Botany;PhD_candidate;Excel;;;;No;No;Docs;Word;Pages;;No;No;Office;;;;No;No;;No;Yes;;;;;;;;No;;;;No_option;;;No;;;Opposition;;;Detailed;;Yes;0;0;;;Institutional;;;Maybe;Yes;Email;Instagram;;;;Email;Yes;Yes;2021/06/06_6:19:59_pm_CET
23;Male;Asia;Asia;;Archaeology;Botany;Senior_tenured;Canoco;Excel;SPSS;;No;No;Word;;;;No;No;C2;Grapher;Office;;No;No;Yes;Yes;Yes;;;;;;;;Yes;Required;Planned;;;;;No;;;;;Yes;Modifications;Detailed;Yes;6;60;Supplementary;;;;;Yes;Yes;Email;;;;;Email;No;Yes;2021/06/14_10:23:17_am_CET
24;Male;Americas;Americas;;Archaeology;;Junior_postdoc;Sheets;Excel;;;No;No;Docs;Word;;;No;No;C2;Office;R;;No;Yes;;No;Yes;;;;;;;;No;;;;Money;Too_expensive;Yes;No;;;Plagirism;Opposition;;Reference;Modifications;Yes;4;20;Supplementary;;Institutional;;;Incentive;Yes;Email;Twitter;Facebook;;;Email;Yes;Yes;2021/06/16_5:16:13_pm_CET
25;Male;Europe;Europe;;Archaeology;Botany;Professional;Excel;;;;No;No;Docs;Word;;;No;No;Office;;;;No;No;No;No;Yes;;;;;;;;Yes;Planned;Facilitated;;;;;No;;;Unscientific;;;Modifications;;Yes;6;0;Main;Supplementary;;;;No;No;Email;;;;;Email;No;No;2021/06/18_3:33:22_pm_CET
26;Female;Europe;Africa;Americas;Archaeology;;Senior_tenured;Canoco;Excel;R;;No;Yes;Docs;Pages;;;No;No;Tilia;Numbers;PC-ORD;;No;Yes;GITHUB;Yes;Yes;;;;;;;;Yes;Required;Planned;Facilitated;;;;No;;;Useless;Burden;;Detailed;;Yes;6;60;Main;Supplementary;Personal;;;No;Maybe;Email;;;;;Email;No;Yes;2021/06/21_2:24:58_pm_CET
27;Prefer_not_to_say;Europe;Europe;;Archaeology;;Professional;Excel;R;SPSS;PAST;No;Yes;Docs;Word;;;No;No;Illustrator;Tilia;;;No;No;DANS/EASY;Yes;Yes;;;;;;;;No;;;;Money;No_institutional_support;;No;;;Burden;Unclear;;Reference;Detailed;Yes;6;80;Supplementary;;;;;No;Maybe;Email;;;;;Email;No;No;2021/06/21_3:22:44_pm_CET
28;Female;Europe;Europe;;Archaeology;;Professional;Excel;;;;No;No;Word;;;;No;No;Office;;;;No;No;International Phytolith Society;Yes;Yes;;;;;;;;No;;;;Useless;;;No;;;Opposition;;;Detailed;;Yes;6;40;Main;;;;;Maybe;Yes;Email;;;;;Email;No;Yes;2021/06/22_11:14:56_am_CET
